IdFeedBack,Prediction
S01_Sess01_FB001,0.008733352675629654
S01_Sess01_FB002,0.015094453443547921
S01_Sess01_FB003,0.022707571685145294
S01_Sess01_FB004,0.015797741805074147
S01_Sess01_FB005,0.020965399543016957
S01_Sess01_FB006,0.005571414069646448
S01_Sess01_FB007,0.009010089406443456
S01_Sess01_FB008,0.011864910409550948
S01_Sess01_FB009,0.011059097802995431
S01_Sess01_FB010,0.040026082360561606
S01_Sess01_FB011,0.03526346018475838
S01_Sess01_FB012,0.005634261720152008
S01_Sess01_FB013,0.00477587277522482
S01_Sess01_FB014,0.09153665656020084
S01_Sess01_FB015,0.009866060374058846
S01_Sess01_FB016,0.008035895213941326
S01_Sess01_FB017,0.006033321070573547
S01_Sess01_FB018,0.009469891015291089
S01_Sess01_FB019,0.018502709362124795
S01_Sess01_FB020,0.0034622502226558374
S01_Sess01_FB021,0.004940756822353537
S01_Sess01_FB022,0.0076395115264899895
S01_Sess01_FB023,0.0017448640611720837
S01_Sess01_FB024,0.006818565742260072
S01_Sess01_FB025,0.07321533093965302
S01_Sess01_FB026,0.03827357444609921
S01_Sess01_FB027,0.021562014373908093
S01_Sess01_FB028,0.00574771359648472
S01_Sess01_FB029,0.02416958211036776
S01_Sess01_FB030,0.01138805797964203
S01_Sess01_FB031,0.0099859231279528
S01_Sess01_FB032,0.03557601187154825
S01_Sess01_FB033,0.012513458795340684
S01_Sess01_FB034,0.029149236547793812
S01_Sess01_FB035,0.025459222225350003
S01_Sess01_FB036,0.010298650874199634
S01_Sess01_FB037,0.015161884097263881
S01_Sess01_FB038,0.033772327922610555
S01_Sess01_FB039,0.013384170744955345
S01_Sess01_FB040,0.0030524129074134764
S01_Sess01_FB041,0.01008134824584717
S01_Sess01_FB042,0.004924949825444479
S01_Sess01_FB043,0.022345590341826017
S01_Sess01_FB044,0.0026085108849092
S01_Sess01_FB045,0.008158038867914134
S01_Sess01_FB046,0.020355390189529105
S01_Sess01_FB047,0.013268389012521952
S01_Sess01_FB048,0.0015748265168971827
S01_Sess01_FB049,0.005875223714339148
S01_Sess01_FB050,0.00197862825105925
S01_Sess01_FB051,0.004130541745281382
S01_Sess01_FB052,0.005975370975702299
S01_Sess01_FB053,0.017787490782756543
S01_Sess01_FB054,0.027959576920653775
S01_Sess01_FB055,0.010019470098803081
S01_Sess01_FB056,0.029625288555050394
S01_Sess01_FB057,0.0321596418368393
S01_Sess01_FB058,0.020283480206730323
S01_Sess01_FB059,0.00536849101763367
S01_Sess01_FB060,0.007030972148329541
S01_Sess02_FB001,0.008905852985347977
S01_Sess02_FB002,0.003130823516734457
S01_Sess02_FB003,0.004723727585078654
S01_Sess02_FB004,0.014358498217086775
S01_Sess02_FB005,0.009314821077597141
S01_Sess02_FB006,0.09343130160299261
S01_Sess02_FB007,0.022067227984518625
S01_Sess02_FB008,0.01635601820551228
S01_Sess02_FB009,0.019459163617364706
S01_Sess02_FB010,0.007074074394051808
S01_Sess02_FB011,0.00429715104494608
S01_Sess02_FB012,0.0177749420535798
S01_Sess02_FB013,0.011526965700031745
S01_Sess02_FB014,0.00829393317626208
S01_Sess02_FB015,0.02073466360731302
S01_Sess02_FB016,0.01711036734390963
S01_Sess02_FB017,0.004276370378501221
S01_Sess02_FB018,0.0026447206595958234
S01_Sess02_FB019,0.038655283266646565
S01_Sess02_FB020,0.02467054836959105
S01_Sess02_FB021,0.03692707688669861
S01_Sess02_FB022,0.00377810711511185
S01_Sess02_FB023,0.0017276583475574925
S01_Sess02_FB024,0.01621138039684315
S01_Sess02_FB025,0.009878455622564944
S01_Sess02_FB026,0.016269869576640582
S01_Sess02_FB027,0.003474410711861357
S01_Sess02_FB028,0.04172923510334531
S01_Sess02_FB029,0.005540032822172317
S01_Sess02_FB030,0.04448963184325622
S01_Sess02_FB031,0.029409927701471085
S01_Sess02_FB032,0.010758415942817299
S01_Sess02_FB033,0.0013045499566276396
S01_Sess02_FB034,0.012238323791568438
S01_Sess02_FB035,0.0015887698040137016
S01_Sess02_FB036,0.009796157367747759
S01_Sess02_FB037,0.0027924430793880707
S01_Sess02_FB038,0.007216746910841022
S01_Sess02_FB039,0.014949844350136562
S01_Sess02_FB040,0.006792243439454912
S01_Sess02_FB041,0.03349922220567882
S01_Sess02_FB042,0.002143108706490731
S01_Sess02_FB043,0.010044135557958196
S01_Sess02_FB044,0.04120828886956491
S01_Sess02_FB045,0.00923509946756312
S01_Sess02_FB046,0.012303173335202248
S01_Sess02_FB047,0.02098791218822388
S01_Sess02_FB048,0.006564505612962901
S01_Sess02_FB049,0.0591394415673852
S01_Sess02_FB050,0.012142307254552412
S01_Sess02_FB051,0.03284387425284872
